raumnummer;groesse;verfuegbar_fr;verfuegbar_sa;sperrzeiten
1.01;klein;ja;ja;
1.02;klein;ja;ja;
1.03;klein;ja;ja;
1.04;klein;ja;ja;
1.05;klein;ja;ja;
1.06;klein;ja;ja;
1.07;klein;ja;ja;
1.08;klein;ja;ja;
1.09;klein;ja;ja;
1.10;klein;ja;ja;
1.11;klein;ja;ja;
1.12;klein;ja;ja;
1.13;klein;ja;ja;
1.14;klein;ja;ja;
1.15;klein;ja;ja;
1.16;klein;ja;ja;
1.17;klein;ja;ja;
1.18;klein;ja;ja;
1.19;klein;ja;ja;
1.20;klein;ja;ja;
1.21;klein;ja;ja;
1.22;klein;ja;ja;
1.23;klein;ja;ja;
1.24;klein;ja;ja;
2.01;gross;ja;ja;
2.02;gross;ja;ja;
2.03;gross;ja;ja;
2.04;gross;ja;ja;
2.05;gross;ja;ja;
2.06;gross;ja;ja;
2.07;gross;ja;ja;
2.08;gross;ja;ja;
2.09;gross;ja;ja;
2.10;gross;ja;ja;
